ean,title,our_price_sk
7330725013959,Spray Jig&Tool Protector,
7330725026294,Okuliare Esab Warrior DIN 5,
8592667303317,"Vrták Ø  4,0x220/150 3001 HSS vybrusovaný extra dlhý",
4014549180792,Brúsny kotúč Rubin 2 &Oslash; 150 mm P150,
4014549180495,Brúsny kotúč Rubin 2 &Oslash 125mm P80,
4014549180815,Brúsny kotúč Rubin 2 &Oslash; 150 mm P180,
4014549180822,Brúsny kotúč Rubin 2 &Oslash; 150 mm P220,
4014549022481,Brúsny kotúč Platin 2  &Oslash; 150 mm S1000,
4014549180525,Brúsny kotúč Rubin 2 &Oslash 125mm P120,
4014549040324,Festool Kotúč brúsny STF D 492125,
4014549179710,Festool Obdĺžnik brúsny STF 80x133 P 80/50ks 499048,
3253563688049,Bit 3-68-804 PZ2x70,
3253563688070,Bit 3-68-807 PZ2x100,
3253561920660,Box na náradie 49x26x25cm kovová pracka 1-92-066,
3253561947490,Stanley Box na náradie FatMax vodotesný 58x31x27cm 1-94-749,
3253561956157,Stanley Box na náradie 50x29x30cm 1-95-615,
3253561974830,Stanley Organizér SORT MAsTER Junior 38x7x29cm 1-97-483,
3253561975141,Box na náradie 67x32x25cm 1-97-514,
3253561975219,Box organizér 1-97-521,
3253561939518,Prepravka 47x35x20cm na náradie otvorená FatMax 1-93-951,
3253561939525,Brašňa pre technikov 1-93-952,
3253561736070,Brašňa 43x28x31cmFatMax FMST1-73607,
3253561038501,Ceruzka tesárka červená 1-03-850,
3253561038518,Ceruzka tesárka zelená 1-03-851,
3253560113001,Čepel 0-11-300 náhradná odlamovacia 9mm (10ks),
3253560113018,Čepeľ 18 mm odlamovacia 10 ks 0-11-301,
3253560113254,Čepeľ 25 mm 10 ks 0-11-325,
3253560117009,Čepeľ 5 ks 0-11-700,
3253560117184,Čepeľ 18 mm 5 ks 0-11-718,
3253560118006,Čepeľ karbid á 5 ks 0-11-800,
3253561113000,Čepeľ 1-11-300 náhr.odlam. 9mm (100ks),
3253562117007,Čepeľ 10 ks 2-11-700,
3253562117182,Čepeľ 18mm 10ks 2-11-718,
3253563117181,Čepeľ 18 mm 50 ks 3-11-718,
3253560118181,Čepeľ 18mm karbid 5ks STHT0-11818,
3253561058684,Držiak dosiek STHT1-05868,
3253565213997,Hoblík 140mm kovový 5-21-399,
3253565211221,Hoblík 250mm kovový 5-21-122,
3253561510373,Kladivo 1-51-037 600g tesárske s magnetom,
3253561519376,Kladivo 600g ANTIVIBE 1-51-937,
3253566051505,Stanley Kladivo sponkovacie G 6-10mm 6-PHT150 (3-69-737),
3253560848132,Kliešte 215mm upínacie s predĺženými úzkyimi čeľusťami 0-84-813,
3253560848163,Kliešte 285mm upínacie ”C” 0-84-816,
3253566052427,Kliešte nitovacie s otočnou hlavou 6-MR77,
3253566053004,Kliešte nitovacie 6-MR100,
3253560698331,Kliešte nitovacie 0-69-833 /6-MR33/,
3253560698041,Kliešte nitovacie 0-69-804 /6-MR55/,
3253560848095,Kliešte 225mm upínacie s oblými čeľusčami 0-84-809,
3253560848101,Kliešte 190mm upínacie s priamimi čeľusťami 0-84-810,
3253560848118,Kliešte 225mm upínacie s priamimi čeľusťami 0-84-811,
3253560848125,Kliešte 170mm upínacie s predĺženými úzkymi čeľusťami 0-84-812,
3253561058370,Klince kolárske 300/E/J 1-SWK-BN0625T 15 mm,
3253560909475,Kľúč nast. 24/150mm 0-90-947,
3253560909499,Kľúč nastaviteľný do 33mm dĺžka 250mm 0-90-949,
3253560909505,Kľúč nastaviteľný 39/300mm 0-90-950,
3253561771743,Kolečko meracie MW40M 1-77-174,
3253561027154,Kolovrátok račňový 1-02-715,
3253561975196,Kufor na náradie 1-97-519 vodeodolný PVC rukoväť,
3253561338564,Meter 2m FMHT1-33856 Fatmax s kľúčenkou,
3253561304873,Meter 3m 1-30-487 (1-30-477),
3253561306877,Meter 3m 1-30-687 Tylon,
3253561304972,Meter 5m 1-30-497,
3253561306976,Stanley Meter 5m 0-30-697 Tylon,
3253561304576,Meter 8m 1-30-457,
3253560100186,Stanley Nožík ulamovací 18mm 0-10-018 Interlock,
3253560100889,Nožík plastový so azsúvacou čepeľou 0-10-088,
