ean,title,seller,seller_url,price_eur,delivery_eur,box_price_eur,scraped_at
8590804004011,Hladítko FESTA nerez 280x130mm zub e4,MCprofi,,3.83,5.62,3.83,2026-04-20T12:41:45.023636+00:00
8590804004011,Hladidlo nerez 280 x 130 mm 4-zubé 31021,KUTILOVO,,4.17,6.76,3.83,2026-04-20T12:41:45.023636+00:00
8590804004011,"Festa Kielnia nerezová oceľ, zub 4 mm, 280 x 130 mm, plastová rukoväť, FESTA",vyprodej_prutu,,3.70,5.49,3.83,2026-04-20T12:41:45.023636+00:00
8590804004011,Hladítko FESTA nerez 280x130mm zub e4,Shop_Garho,,4.93,7.52,3.83,2026-04-20T12:41:45.023636+00:00
8590804004011,Hladítko FESTA nerez 280x130mm zub e4,iBrusivo_cz,,4.79,6.78,3.83,2026-04-20T12:41:45.023636+00:00
8590804004011,Hladítko nerez zuby 4 270/280x130mm,VISOTRADE,,4.55,6.54,3.83,2026-04-20T12:41:45.023636+00:00
8590804004707,Naberačka murárska o 160 mm s rúčkou 32273,KUTILOVO,,4.52,7.11,4.52,2026-04-20T12:42:33.717966+00:00
8590804004707,FESTA naberačka murárska 160mm s rukoväťou 32273,naradi_hornig,,4.58,6.57,4.52,2026-04-20T12:42:33.717966+00:00
8590804004707,FESTA Naberačka murárska oceľ 160mm drevená rúčka 32273.01,DoktorKladivo,,5.12,7.11,4.52,2026-04-20T12:42:33.717966+00:00
8590804004707,Naberačka murárska oceľ FESTA dr. r 160mm,Shop_Garho,,5.70,9.69,4.52,2026-04-20T12:42:33.717966+00:00
8590804004707,Naberačka murárska oceľ FESTA 160mm drevená rúčka,iBrusivo_cz,,5.41,7.40,4.52,2026-04-20T12:42:33.717966+00:00
8590804004707,Festa Kadidlo murovaná oceľ Festa Dr. r 160mm,eoshop_market,,6.90,8.89,4.52,2026-04-20T12:42:33.717966+00:00
8590804013563,Ostrič vrtákov Levior 20380,KUTILOVO,,7.60,10.19,7.60,2026-04-20T12:42:46.335182+00:00
8590804013563,FESTA ostrič vrtákov rotačný 20380,naradi_hornig,,7.79,9.78,7.60,2026-04-20T12:42:46.335182+00:00
8590804013563,"Ostrič vrtákov 3,5-10mm",eoshop_market,,10.48,12.47,7.60,2026-04-20T12:42:46.335182+00:00
8590804002444,"Sada vrtákov 1,0 - 13 x 0,5 25-dielna 20311",KUTILOVO,,19.69,22.28,19.69,2026-04-20T12:43:10.865499+00:00
8590804002444,Súprava HSS vrtákov 1-13mm (po 0.5mm) 25ks plech,iBrusivo_cz,,25.84,27.83,19.69,2026-04-20T12:43:10.865499+00:00
3838853160308,Uholník tesársky 600 x 300 mm 14360,KUTILOVO,,13.06,15.65,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,Tesársky uholník Profi 600 x 300 mm / balenie 1 ks,StrefaCZ,,13.38,15.37,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,Uholník tesársky 1000 x 360 mm 14399,KUTILOVO,,16.91,19.50,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,"Uholník tesársky, 1000 x 360 mm",euronaradi,,16.61,18.40,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,Uholník tesársky FESTA 1000x360mm,MCprofi,,16.41,18.20,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,Tesársky uholník 1000 x 360 mm,eoshop_market,,18.86,20.85,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,FESTA uholník tesársky 600*300mm 14360,naradi_hornig,,12.86,19.86,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,"Uholník tesársky, 1000 x 360 mm",eoshop_market,,20.94,22.93,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,Tesársky uholník 1000 x 360 mm,eoshop_market,,23.86,25.85,13.06,2026-04-20T12:43:23.423979+00:00
3838853160308,FESTA uholník tesársky 1000*360mm 14399,naradi_hornig,,16.46,23.46,13.06,2026-04-20T12:43:23.423979+00:00
8590804015093,Kladivo 500 g 19005,KUTILOVO,,4.37,6.96,4.37,2026-04-20T12:45:16.583109+00:00
8590804015093,LEVIOR Kladivo 500g 32cm násada drevo 19005.01,DoktorKladivo,,4.72,6.71,4.37,2026-04-20T12:45:16.583109+00:00
8590804015093,Kladivo 500g 32cm násada drevo,iBrusivo_cz,,5.05,7.04,4.37,2026-04-20T12:45:16.583109+00:00
8590804015093,Kladivo zámočnícke 500g,VISOTRADE,,4.97,6.96,4.37,2026-04-20T12:45:16.583109+00:00
8590804015024,Sekera 1000 g 19310,KUTILOVO,,9.29,11.88,9.29,2026-04-20T12:47:18.213255+00:00
8590804015024,Sekera 1000g 46cm násada drevo,MCprofi,,9.23,11.02,9.29,2026-04-20T12:47:18.213255+00:00
8590804015024,Sekera 1000g 46cm násada drevo,iBrusivo_cz,,10.99,12.98,9.29,2026-04-20T12:47:18.213255+00:00
8590804015024,sekera 1000g S NASADOU,MAT-Group,,12.52,14.51,9.29,2026-04-20T12:47:18.213255+00:00
8590804015024,Sekera 1000g 46cm násada drevo,MCprofi,,9.23,11.02,9.29,2026-04-20T12:47:18.213255+00:00
8590804015024,Sekera 1000g S NASADOU,eoshop_market,,12.73,14.72,9.29,2026-04-20T12:47:18.213255+00:00
8590804013853,Zámok visiaci mosadzný zosilený 60mm 23160,KUTILOVO,,12.81,15.40,12.81,2026-04-20T12:48:31.704443+00:00
8590804013853,Zámok visiaci FESTA mosadz zosilnený 60mm,iBrusivo_cz,,14.69,16.68,12.81,2026-04-20T12:48:31.704443+00:00
8590804015062,Kladivo 200 g 19002,KUTILOVO,,2.78,5.37,2.78,2026-04-20T12:55:25.743934+00:00
8590804015062,Kladivo 200g 28cm násada drevo,MCprofi,,2.39,4.18,2.78,2026-04-20T12:55:25.743934+00:00
8590804015062,WESTBERG Kladivo 200g 28cm násada drevo 19002.01,DoktorKladivo,,3.11,5.10,2.78,2026-04-20T12:55:25.743934+00:00
8590804015062,Kladivo 200g 28cm násada drevo,iBrusivo_cz,,3.32,5.31,2.78,2026-04-20T12:55:25.743934+00:00
8590804015062,Kladivo 200g 28cm násada drevo,MCprofi,,2.39,4.18,2.78,2026-04-20T12:55:25.743934+00:00
8590804015062,Kladivo zámočnícke 200g,VISOTRADE,,2.79,4.78,2.78,2026-04-20T12:55:25.743934+00:00
8590804012467,Unášač brúsneho papiera o 125 mm stopka skrutka 22041,KUTILOVO,,4.12,6.71,4.12,2026-04-20T12:58:00.370060+00:00
8590804012467,Unášač šmirgľového papiera 125mm stopka,MCprofi,,4.25,6.04,4.12,2026-04-20T12:58:00.370060+00:00
8590804012467,Unášač šmirgľového papiera 125mm stopka,iBrusivo_cz,,5.24,7.23,4.12,2026-04-20T12:58:00.370060+00:00
8590804012467,Unášač šmirgľového papiera 125mm stopka,MCprofi,,4.25,6.04,4.12,2026-04-20T12:58:00.370060+00:00
8590804012474,Unášač brúsneho papiera o 125 mm stopka suchý zips 22042,KUTILOVO,,4.79,7.38,4.79,2026-04-20T12:58:32.550007+00:00
8590804012474,Levior Unášač šmirgľového papiera SZ 125mm stopka,Shop_Garho,,5.00,7.59,4.79,2026-04-20T12:58:32.550007+00:00
8590804012474,Unášač šmirgľového papiera SZ 125mm stopka,iBrusivo_cz,,6.24,8.23,4.79,2026-04-20T12:58:32.550007+00:00
8590804015215,Holka gumová biela FESTA 90mm 34cm,MCprofi,,10.02,11.81,10.02,2026-04-20T13:01:33.688248+00:00
8590804015215,Palica gumová o 90 mm biela s kovovou rukoväťou 19295,KUTILOVO,,10.02,12.61,10.02,2026-04-20T13:01:33.688248+00:00
8590804015215,Holka gumová biela FESTA 90mm 34cm,iBrusivo_cz,,11.87,13.86,10.02,2026-04-20T13:01:33.688248+00:00
8590804015215,"Festa Holka gumová, 90 mm, biela, kovová násada",TSBohemia,,9.91,12.30,10.02,2026-04-20T13:01:33.688248+00:00
8590804017189,Nožnice polguľaté nerez 21 cm 45021,KUTILOVO,,6.68,9.27,6.68,2026-04-20T13:11:45.073539+00:00
8590804017189,Nožnice FESTA záhradnícke 21cm,MCprofi,,6.68,8.47,6.68,2026-04-20T13:11:45.073539+00:00
8590804017189,FESTA Nožnice záhradnícke 21cm 45021.01,DoktorKladivo,,7.42,9.41,6.68,2026-04-20T13:11:45.073539+00:00
8590804017189,Nožnice FESTA záhradnícke 21cm,iBrusivo_cz,,8.02,10.01,6.68,2026-04-20T13:11:45.073539+00:00
8590804014539,"Skrutkovač plochý 5,5 x 125 18104",KUTILOVO,,1.50,4.09,1.50,2026-04-20T13:18:18.039318+00:00
8590804014539,Skrutkovač plochý S 5.5x125mm CrV,iBrusivo_cz,,1.68,3.67,1.50,2026-04-20T13:18:18.039318+00:00
8590804014539,"PLOCHÝ SKRUTKOVAČ TRACON 5,5X125 MM IZOLOVANÝ PRE 1000 V",elektrokompleks_,,4.43,7.02,1.50,2026-04-20T13:18:18.039318+00:00
8590804014539,"Skrutkovač Tracon 1x5,5x125 izolovaný do 1000V 5,5X125 mm",elektrokompleks2,,4.43,7.02,1.50,2026-04-20T13:18:18.039318+00:00
8590804014539,Skrutkovač plochý FESTA S 5.5x125mm CrV,MCprofi,,1.11,2.90,1.50,2026-04-20T13:18:18.039318+00:00
8590804014539,"Skrutkovač plochý 5,5x125 CrV",VISOTRADE,,2.82,4.81,1.50,2026-04-20T13:18:18.039318+00:00
8590804014560,Skrutkovač plochý 8 x 160 18107,KUTILOVO,,1.89,4.48,1.89,2026-04-20T13:18:31.394784+00:00
