ean,title,seller,seller_url,price_eur,delivery_eur,scraped_at
8590804004011,Hladítko FESTA nerez 280x130mm zub e4,MCprofi,,3.83,5.62,2026-04-18T12:09:31.871816+00:00
8590804004011,Hladidlo nerez 280 x 130 mm 4-zubé 31021,KUTILOVO,,4.17,6.76,2026-04-18T12:09:31.871816+00:00
8590804004011,Hladítko FESTA nerez 280x130mm zub e4,iBrusivo_cz,,4.79,6.78,2026-04-18T12:09:31.871816+00:00
8590804004011,Hladítko FESTA nerez 280x130mm zub e4,Shop_Garho,,4.93,7.52,2026-04-18T12:09:31.871816+00:00
8590804004011,Hladítko nerez zuby 4 270/280x130mm,VISOTRADE,,4.55,6.54,2026-04-18T12:09:31.871816+00:00
8590804004035,Hladidlo nerez 280 x 130 mm 8-zubé 31041,KUTILOVO,,4.17,6.76,2026-04-18T12:09:38.013471+00:00
8590804004035,FESTA Hladítko nerez 280x130mm zub e8 31041.01,DoktorKladivo,,4.48,6.47,2026-04-18T12:09:38.013471+00:00
8590804004035,Hladítko FESTA nerez 280x130mm zub e8,iBrusivo_cz,,4.79,6.78,2026-04-18T12:09:38.013471+00:00
8590804004042,Hladidlo nerez 280 x 130 mm 10-zubé 31051,KUTILOVO,,4.17,6.76,2026-04-18T12:09:43.523007+00:00
8590804004042,FESTA Hladítko nerez 280x130mm zub e10 31051.01,DoktorKladivo,,4.48,6.47,2026-04-18T12:09:43.523007+00:00
8590804004042,Hladítko FESTA nerez 280x130mm zub e10,iBrusivo_cz,,4.80,6.79,2026-04-18T12:09:43.523007+00:00
8590804004707,Naberačka murárska o 160 mm s rúčkou 32273,KUTILOVO,,4.52,7.11,2026-04-18T12:09:48.570713+00:00
8590804004707,FESTA naberačka murárska 160mm s rukoväťou 32273,naradi_hornig,,4.58,6.57,2026-04-18T12:09:48.570713+00:00
8590804004707,FESTA Naberačka murárska oceľ 160mm drevená rúčka 32273.01,DoktorKladivo,,5.12,7.11,2026-04-18T12:09:48.570713+00:00
8590804004707,Naberačka murárska oceľ FESTA 160mm drevená rúčka,iBrusivo_cz,,5.41,7.40,2026-04-18T12:09:48.570713+00:00
8590804004707,Naberačka murárska oceľ FESTA dr. r 160mm,Shop_Garho,,5.70,9.69,2026-04-18T12:09:48.570713+00:00
8590804004707,Festa Kadidlo murovaná oceľ Festa Dr. r 160mm,eoshop_market,,5.77,7.76,2026-04-18T12:09:48.570713+00:00
8590804013563,Ostrič vrtákov Levior 20380,KUTILOVO,,7.60,10.19,2026-04-18T12:09:54.189506+00:00
8590804013563,FESTA ostrič vrtákov rotačný 20380,naradi_hornig,,7.79,9.78,2026-04-18T12:09:54.189506+00:00
8590804013563,"ostrič vrtákov 3,5-10mm",MAT-Group,,11.16,13.15,2026-04-18T12:09:54.189506+00:00
8590804013563,"Ostrič vrtákov 3,5-10mm",eoshop_market,,10.41,12.40,2026-04-18T12:09:54.189506+00:00
8590804002444,"Sada vrtákov 1,0 - 13 x 0,5 25-dielna 20311",KUTILOVO,,19.69,22.28,2026-04-18T12:25:36.763608+00:00
8590804002444,Súprava HSS vrtákov 1-13mm (po 0.5mm) 25ks plech,iBrusivo_cz,,25.84,27.83,2026-04-18T12:25:36.763608+00:00
3838853160308,Uholník tesársky 600 x 300 mm 14360,KUTILOVO,,13.06,15.65,2026-04-18T12:25:44.079880+00:00
3838853160308,Tesársky uholník Profi 600 x 300 mm / balenie 1 ks,StrefaCZ,,13.38,15.37,2026-04-18T12:25:44.079880+00:00
3838853160308,Uholník tesársky 1000 x 360 mm 14399,KUTILOVO,,16.91,19.50,2026-04-18T12:25:44.079880+00:00
3838853160308,"Uholník tesársky, 1000 x 360 mm",euronaradi,,16.61,18.40,2026-04-18T12:25:44.079880+00:00
3838853160308,Uholník tesársky FESTA 1000x360mm,MCprofi,,16.41,18.20,2026-04-18T12:25:44.079880+00:00
3838853160308,Tesársky uholník 1000 x 360 mm,eoshop_market,,18.19,20.18,2026-04-18T12:25:44.079880+00:00
3838853160308,FESTA uholník tesársky 600*300mm 14360,naradi_hornig,,12.86,19.86,2026-04-18T12:25:44.079880+00:00
3838853160308,"Uholník tesársky, 1000 x 360 mm",eoshop_market,,20.88,22.87,2026-04-18T12:25:44.079880+00:00
3838853160308,Tesársky uholník 1000 x 360 mm,eoshop_market,,23.75,25.74,2026-04-18T12:25:44.079880+00:00
3838853160308,FESTA uholník tesársky 1000*360mm 14399,naradi_hornig,,16.46,23.46,2026-04-18T12:25:44.079880+00:00
8590804013327,Kliešte 160 rádiové 17006,KUTILOVO,,4.50,7.09,2026-04-18T12:25:52.495457+00:00
8590804013327,Kliešte kombinované rádiové FESTA 160mm,iBrusivo_cz,,5.29,7.28,2026-04-18T12:25:52.495457+00:00
8590804013327,Kliešte rádiové FESTA 160mm,Shop_Garho,,5.33,7.92,2026-04-18T12:25:52.495457+00:00
8590804013341,Kliešte 160 rádiové zahnuté 17007,KUTILOVO,,4.76,7.35,2026-04-18T12:25:59.939023+00:00
8590804013341,Kliešte rádiové zahnuté FESTA 160mm,iBrusivo_cz,,5.61,7.60,2026-04-18T12:25:59.939023+00:00
8590804013341,"Festa Kliešte rádiové zahnuté, 160 mm",TSBohemia,,3.93,6.32,2026-04-18T12:25:59.939023+00:00
8590804013358,Kliešte 200mm rádiové zahnuté 17008,KUTILOVO,,5.27,7.86,2026-04-18T12:26:07.824868+00:00
8590804013358,Kliešte rádiové zahnuté FESTA 200mm,iBrusivo_cz,,6.23,8.22,2026-04-18T12:26:07.824868+00:00
8590804013358,Kliešte rádiové zahnuté FESTA 200mm,MCprofi,,5.11,6.90,2026-04-18T12:26:07.824868+00:00
8590804015093,Kladivo 500 g 19005,KUTILOVO,,4.37,6.96,2026-04-18T12:26:26.638739+00:00
8590804015093,LEVIOR Kladivo 500g 32cm násada drevo 19005.01,DoktorKladivo,,4.72,6.71,2026-04-18T12:26:26.638739+00:00
8590804015093,Kladivo 500g 32cm násada drevo,iBrusivo_cz,,5.05,7.04,2026-04-18T12:26:26.638739+00:00
8590804015093,Kladivo zámočnícke 500g,VISOTRADE,,4.97,6.96,2026-04-18T12:26:26.638739+00:00
8590804015116,Kladivo 1000 g 19010,KUTILOVO,,6.39,8.98,2026-04-18T12:26:33.958855+00:00
8590804015116,Kladivo 1000g 36cm násada drevo,iBrusivo_cz,,7.71,9.70,2026-04-18T12:26:33.958855+00:00
8590804015116,Kladivo zámočnícke 1000g,VISOTRADE,,7.01,9.00,2026-04-18T12:26:33.958855+00:00
8590804015130,Kladivo 2000 g 19020,KUTILOVO,,9.37,11.96,2026-04-18T12:26:43.025398+00:00
8590804015130,Kladivo 2000g 40cm násada drevo,iBrusivo_cz,,11.35,13.34,2026-04-18T12:26:43.025398+00:00
8590804015130,Kladivo zámočnícke 2000g,VISOTRADE,,9.84,11.83,2026-04-18T12:26:43.025398+00:00
8590804015000,Sekera 600 g 19306,KUTILOVO,,7.06,9.65,2026-04-18T12:26:52.892474+00:00
8590804015000,Sekera 600g 39cm násada drevo,iBrusivo_cz,,8.29,10.28,2026-04-18T12:26:52.892474+00:00
8590804015000,Sekera 600g S NASADOU,eoshop_market,,8.41,10.40,2026-04-18T12:26:52.892474+00:00
8590804015017,Sekera 800 g 19308,KUTILOVO,,7.78,10.37,2026-04-18T12:27:00.291698+00:00
8590804015017,Sekera 800g 41cm násada drevo,iBrusivo_cz,,9.38,11.37,2026-04-18T12:27:00.291698+00:00
8590804015017,sekera 800g S NASADOU,MAT-Group,,9.83,11.82,2026-04-18T12:27:00.291698+00:00
8590804015017,Sekera 800g 41cm násada drevo,MCprofi,,7.87,9.66,2026-04-18T12:27:00.291698+00:00
8590804015017,Sekera 800g S NASADOU,VISOTRADE,,9.14,11.13,2026-04-18T12:27:00.291698+00:00
8590804015017,Sekera 800g S NASADOU,eoshop_market,,9.28,11.27,2026-04-18T12:27:00.291698+00:00
8590804015024,Sekera 1000 g 19310,KUTILOVO,,9.29,11.88,2026-04-18T12:27:08.019527+00:00
8590804015024,Sekera 1000g 46cm násada drevo,iBrusivo_cz,,10.99,12.98,2026-04-18T12:27:08.019527+00:00
8590804015024,sekera 1000g S NASADOU,MAT-Group,,12.52,14.51,2026-04-18T12:27:08.019527+00:00
8590804015024,Sekera 1000g 46cm násada drevo,MCprofi,,9.23,11.02,2026-04-18T12:27:08.019527+00:00
8590804015024,Sekera 1000g S NASADOU,eoshop_market,,12.22,13.57,2026-04-18T12:27:08.019527+00:00
8590804013822,Zámok visiaci mosadzný zosilený 35mm 23135,KUTILOVO,,4.49,7.08,2026-04-18T12:27:15.226073+00:00
8590804013822,Zámok visiaci FESTA mosadz zosilnený 35mm,iBrusivo_cz,,5.24,7.23,2026-04-18T12:27:15.226073+00:00
8590804013839,Zámok visiaci mosadzný zosilený 40mm 23140,KUTILOVO,,4.73,7.32,2026-04-18T12:27:23.827076+00:00
8590804013839,Zámok visiaci FESTA mosadz zosilnený 40mm,iBrusivo_cz,,5.57,7.56,2026-04-18T12:27:23.827076+00:00
8590804013853,Zámok visiaci mosadzný zosilený 60mm 23160,KUTILOVO,,12.81,15.40,2026-04-18T12:27:32.037220+00:00
8590804013853,Zámok visiaci FESTA mosadz zosilnený 60mm,iBrusivo_cz,,14.69,16.68,2026-04-18T12:27:32.037220+00:00
8590804013075,Pílka na kov plast 300 mm 24100,KUTILOVO,,3.17,5.76,2026-04-18T12:27:39.752828+00:00
8590804013075,Píla ručná na kov 300mm,iBrusivo_cz,,4.10,6.09,2026-04-18T12:27:39.752828+00:00
8590804013075,Píla ručná na kov 300mm,MCprofi,,3.50,5.29,2026-04-18T12:27:39.752828+00:00
